Date:TEXT,Reg:TEXT,From:TEXT,To:TEXT,PIC:REAL,Type:TEXT,Landings:INT,Aprcs:INT,Comment:TEXT,Dual:REAL,ActI:REAL,SimI:REAL,Sim:REAL
2018/09/21,N824MZ,KBFI,KPAE,0.5,AEST,1,1,PAE ILS-16Z,0,0.2,0,0
2018/09/21,N824MZ,KPAE,KBFI,0.5,AEST,1,0,--,0,0,0,0
2018/09/21,N824MZ,KPAE,KPAE,1.2,AEST,1,5,"BVS GPS29HoldGPS11, PAE ILS16,VOR,GPS Adam Maritz",0,0.5,0,0
2018/09/21,N4242G,KPAE,KPAE,1.4,8KCAB,2,0,land Orcas Island,0,0,0,0
2018/09/06,N824MZ,CYAZ,KBFI,1.2,AEST,1,0,--,0,0,0,0
2018/09/04,N824MZ,KBFI,CYAZ,1.6,AEST,2,0,via CYYJ,0,0,0,0
2018/08/30,N4242G,KPAE,KPAE,0.8,8KCAB,3,0,--,0,0,0,0
2018/08/28,N824MZ,CYYJ,KBFI,0.7,AEST,1,0,--,0,0,0,0
2018/08/27,N824MZ,CYBL,CYYJ,0.7,AEST,1,0,--,0,0,0,0
2018/08/24,N824MZ,KBFI,CYBL,1,AEST,1,0,--,0,0,0,0
2018/08/06,N824MZ,CYYJ,KBFI,0.8,AEST,1,0,--,0,0,0,0
2018/08/05,N824MZ,KBFI,CYYJ,0.8,AEST,1,0,--,0,0,0,0
2018/07/22,N4242G,KPAE,KPAE,1.2,8KCAB,2,0,two flights with Wassef and son,0,0,0,0
2018/07/20,N824MZ,KSJC,KBFI,2.8,AEST,1,1,BFI ILS-14R,0,0.4,0,0
2018/07/18,N824MZ,KMFR,KSJC,1.6,AEST,1,0,--,0,0,0,0
2018/07/18,N824MZ,KBFI,KMFR,1.8,AEST,1,0,--,0,0,0,0
2018/07/17,N4242G,KPAE,KPAE,1,8KCAB,6,0,--,0,0,0,0
2018/07/14,N824MZ,KBFI,KBFI,0.5,AEST,1,0,--,0,0,0,0
2018/06/17,N248JP,FBMN,FALA,2.7,C208,1,0,--,0,0,0,0
2018/06/17,N248JP,FALA,FASI,0.4,C208,1,0,--,0,0,0,0
2018/06/16,N248JP,FLHP,FLHN,1.4,C208,1,0,--,0,0,0,0
2018/06/16,N248JP,FLHN,FBMN,1.4,C208,1,0,--,0,0,0,0
2018/06/09,N248JP,FLHN,FLHP,1.4,C208,1,0,--,0,0,0,0
2018/06/07,N248JP,FYKM,FLHN,0.8,C208,1,0,--,0,0,0,0
2018/06/07,N248JP,FYLS,FYKM,0.5,C208,1,0,--,0,0,0,0
2018/06/05,N248JP,FYTK,FYLS,1.4,C208,1,0,Lianshulu,0,0,0,0
2018/06/04,N248JP,FYWE,ZZZZ,0.7,C208,1,0,Woltemade guest farm - Rolf & Uli Ritter,0,0,0,0
2018/06/04,N248JP,FYSO,FYWE,0.8,C208,1,0,--,0,0,0,0
2018/06/04,N248JP,ZZZZ,FYTK,1.4,C208,1,0,Tsumkwe - Bushman Land,0,0,0,0
2018/06/02,ZU-IMS,FYSO,FYSO,0.8,T194,2,0,Sundowmer at Spaarwater,0,0,0,0
